slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
prairie-lane,Prairie Lane,/prairie-lane.php,prairie lane,,45,11/8/10/16,0
hawthorne,Hawthorne,/hawthorne.php,hawthorne | hawthorne add | hawthorne add lot 12 block 1 all lots 11 & 12 blk 1 irreg | hawthorne add. | hawthorne subdivision | hawthorne subdivision lot 214 block 0 irreg,,44,13/6/14/11,5
the-townhomes-of-village-pointe,The Townhomes of Village Pointe,/the-townhomes-of-village-pointe.php,the townhomes of village pointe,,44,29/8/4/3,0
walnut-ridge,Walnut Ridge,/walnut-ridge.php,walnut ridge,,44,13/12/9/10,0
tranquility-view,Tranquility View,/tranquility-view.php,tranquility view,,44,13/11/9/11,0
pacific-springs,Pacific Springs,/pacific-springs.php,pacific springs | pacific springs rep 7,,44,15/11/8/10,1
briar-hills,Briar Hills,/briar-hills.php,briar hills,,44,12/11/13/8,0
southridge,SouthRidge,/southridge.php,southridge,,43,10/11/11/11,0
westmont,Westmont,/westmont.php,westmont | westmont replat iii,,43,9/15/8/11,1
privada,Privada,/privada.php,privada,,43,6/9/13/15,0
park-west,Park West,/park-west.php,park west,,43,13/14/7/9,0
stone-park,Stone Park,/stone-park.php,stone park,,43,9/8/7/19,0
fountain-hills,Fountain Hills,/fountain-hills.php,fountain hills | fountain hills lot 90 block 0 irreg,,42,15/7/8/12,1
bay-meadows,Bay Meadows,/bay-meadows.php,bay meadows | bay meadows add | bay meadows addition,,42,13/10/10/9,2
caldwell-acres,Caldwell Acres,/caldwell-acres.php,caldwell acres | caldwell acres lot 10 block 6,,42,11/12/9/10,1
stonegate,StoneGate,/stonegate.php,stonegate,,42,16/6/10/10,0
lookingglass-heights,Lookingglass Heights,/lookingglass-heights.php,lookingglass heights | lookingglass heights ii,,41,14/7/9/11,1
fontenelle-hills,Fontenelle Hills,/fontenelle-hills.php,fontenelle hills | fontenelle hills ii | fontenelle hills iii | fontenelle hills iv | fontenelle hills replat iii,,41,9/11/11/10,4
plum-creek,Plum Creek,/plum-creek.php,plum creek,,41,11/15/7/8,0
lakeview-heights,Lakeview Heights,/lakeview-heights.php,lakeview heights,,41,11/16/12/2,0
